NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
070,2026-08-15 (mtime),AURORA,Auditoría,16_DOCUMENTO_ALINEACION_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\16_DOCUMENTO_ALINEACION_AURORA.md,.md,0.5
071,2026-08-15 (mtime),AURORA,Auditoría,16_PLAN_DE_ACCION.md,AURORA\00_AUDITORIA_MAESTRA\16_PLAN_DE_ACCION.md,.md,0.4
072,2026-08-15 (mtime),AURORA,Escala/Reuniones,17_DOCUMENTOS_PARA_REUNION.md,AURORA\00_AUDITORIA_MAESTRA\17_DOCUMENTOS_PARA_REUNION.md,.md,0.6
073,2026-08-15 (mtime),AURORA,Auditoría,17_FUENTES_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\17_FUENTES_AURORA.md,.md,0.6
074,2026-08-15 (mtime),AURORA,Auditoría,18_FUENTES_Y_EVIDENCIAS.md,AURORA\00_AUDITORIA_MAESTRA\18_FUENTES_Y_EVIDENCIAS.md,.md,0.6
075,2026-08-15 (mtime),COMPARTIDO,Auditoría,00_MAPA_MAESTRO_MARC_AURORA.md,AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\00_MAPA_MAESTRO_MARC_AURORA.md,.md,2.5
076,2026-08-15 (mtime),MARC,Auditoría,00_RESUMEN_EJECUTIVO_MARC.md,MARC\00_AUDITORIA_MAESTRA\00_RESUMEN_EJECUTIVO_MARC.md,.md,2.1
077,2026-08-15 (mtime),MARC,Auditoría,01_AUDITORIA_COMPLETA_MARC.md,MARC\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_MARC.md,.md,3.0
078,2026-08-15 (mtime),MARC,Auditoría,02_INVENTARIO_MARC.md,MARC\00_AUDITORIA_MAESTRA\02_INVENTARIO_MARC.md,.md,1.8
079,2026-08-15 (mtime),MARC,Auditoría,03_MAPA_DEL_NEGOCIO_MARC.md,MARC\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_MARC.md,.md,3.0
080,2026-08-15 (mtime),MARC,Auditoría,04_MAPA_DE_MARKETING_MARC.md,MARC\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_MARC.md,.md,1.1
081,2026-08-15 (mtime),MARC,Auditoría,05_MAPA_DEL_EMBUDO_MARC.md,MARC\05_MAPA_DEL_EMBUDO_MARC.md,.md,1.1
082,2026-08-15 (mtime),MARC,Auditoría,06_MAPA_DE_AUTOMATIZACIONES_MARC.md,MARC\06_MAPA_DE_AUTOMATIZACIONES_MARC.md,.md,0.7
083,2026-08-15 (mtime),MARC,Auditoría,07_AUDITORIA_DE_HERRAMIENTAS_MARC.md,MARC\07_AUDITORIA_DE_HERRAMIENTAS_MARC.md,.md,0.6
084,2026-08-15 (mtime),MARC,Auditoría,08_AUDITORIA_FINANCIERA_MARC.md,MARC\08_AUDITORIA_FINANCIERA_MARC.md,.md,0.6
085,2026-08-15 (mtime),MARC,Contrato,09_AUDITORIA_CONTRACTUAL_MARC.md,MARC\09_AUDITORIA_CONTRACTUAL_MARC.md,.md,0.6
086,2026-08-15 (mtime),MARC,Estrategia/KPI,10_KPI_Y_METRICAS_MARC.md,MARC\10_KPI_Y_METRICAS_MARC.md,.md,0.5
087,2026-08-15 (mtime),MARC,Estrategia/KPI,11_RIESGOS_MARC.md,MARC\11_RIESGOS_MARC.md,.md,0.6
088,2026-08-15 (mtime),MARC,Estrategia/KPI,12_OPORTUNIDADES_MARC.md,MARC\12_OPORTUNIDADES_MARC.md,.md,0.6
089,2026-08-15 (mtime),MARC,General,13_PREGUNTAS_PARA_MARC.md,MARC\13_PREGUNTAS_PARA_MARC.md,.md,0.9
090,2026-08-15 (mtime),MARC,Estrategia/KPI,14_PLAN_30_60_90_MARC.md,MARC\14_PLAN_30_60_90_MARC.md,.md,0.7
091,2026-08-15 (mtime),MARC,Escala/Reuniones,15_REUNION_BRIEF_MARC.md,MARC\15_REUNION_BRIEF_MARC.md,.md,0.6
092,2026-08-15 (mtime),MARC,General,16_DOCUMENTO_ALINEACION_MARC.md,MARC\16_DOCUMENTO_ALINEACION_MARC.md,.md,0.6
093,2026-08-15 (mtime),MARC,General,17_FUENTES_MARC.md,MARC\17_FUENTES_MARC.md,.md,1.7
