ruta_relativa;nombre;ext;categoria;proyecto;bytes;modificado
AUDITORIA_GLOBAL\05_MAPA_EMPRESAS.md;05_MAPA_EMPRESAS.md;.md;documento;AUDITORIA_GLOBAL;2505;2026-08-16 02:00
AUDITORIA_GLOBAL\06_MAPA_PROYECTOS.md;06_MAPA_PROYECTOS.md;.md;documento;AUDITORIA_GLOBAL;3180;2026-08-16 02:06
AUDITORIA_GLOBAL\07_MAPA_CONTRATOS.md;07_MAPA_CONTRATOS.md;.md;documento;AUDITORIA_GLOBAL;1875;2026-08-16 02:06
AUDITORIA_GLOBAL\08_MAPA_MARKETING.md;08_MAPA_MARKETING.md;.md;documento;AUDITORIA_GLOBAL;1938;2026-08-16 02:07
AUDITORIA_GLOBAL\09_MAPA_FINANCIERO.md;09_MAPA_FINANCIERO.md;.md;documento;AUDITORIA_GLOBAL;1655;2026-08-16 02:07
AUDITORIA_GLOBAL\10_MAPA_OPERATIVO.md;10_MAPA_OPERATIVO.md;.md;documento;AUDITORIA_GLOBAL;2199;2026-08-16 02:07
AUDITORIA_GLOBAL\11_MAPA_TECNOLOGICO.md;11_MAPA_TECNOLOGICO.md;.md;documento;AUDITORIA_GLOBAL;1885;2026-08-16 02:07
AUDITORIA_GLOBAL\12_LOCAL_VS_DRIVE.md;12_LOCAL_VS_DRIVE.md;.md;documento;AUDITORIA_GLOBAL;2585;2026-08-16 02:08
AUDITORIA_GLOBAL\13_DUPLICADOS.md;13_DUPLICADOS.md;.md;documento;AUDITORIA_GLOBAL;2102;2026-08-16 02:08
AUDITORIA_GLOBAL\14_CONTRADICCIONES.md;14_CONTRADICCIONES.md;.md;documento;AUDITORIA_GLOBAL;2815;2026-08-16 02:08
AUDITORIA_GLOBAL\15_INFORMACION_FALTANTE.md;15_INFORMACION_FALTANTE.md;.md;documento;AUDITORIA_GLOBAL;2930;2026-08-16 02:09
AUDITORIA_GLOBAL\16_CONCLUSIONES.md;16_CONCLUSIONES.md;.md;documento;AUDITORIA_GLOBAL;3893;2026-08-16 02:09
AUDITORIA_GLOBAL\17_ANALISIS_IMAGENES_FASE2.md;17_ANALISIS_IMAGENES_FASE2.md;.md;documento;AUDITORIA_GLOBAL;3018;2026-08-16 02:33
AUDITORIA_GLOBAL\18_DOCUMENTOS_RECUPERADOS_FASE2.md;18_DOCUMENTOS_RECUPERADOS_FASE2.md;.md;documento;AUDITORIA_GLOBAL;12453;2026-08-16 02:31
AUDITORIA_GLOBAL\20_INVENTARIO_TOTAL_ARCHIVOS.csv;20_INVENTARIO_TOTAL_ARCHIVOS.csv;.csv;documento;AUDITORIA_GLOBAL;49362;2026-08-16 03:58
AUDITORIA_GLOBAL\20_INVENTARIO_TOTAL_ARCHIVOS.csv.bak;20_INVENTARIO_TOTAL_ARCHIVOS.csv.bak;.bak;backup;AUDITORIA_GLOBAL;44193;2026-08-16 03:58
AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\00_CONTINUIDAD_ESTADO.md;00_CONTINUIDAD_ESTADO.md;.md;documento;AUDITORIA_GLOBAL;6349;2026-08-16 04:26
AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\00_MAPA_MAESTRO_MARC_AURORA.md;00_MAPA_MAESTRO_MARC_AURORA.md;.md;documento;AUDITORIA_GLOBAL;2554;2026-08-15 19:01
AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\01_PROMPTS_PARA_AGENTES.md;01_PROMPTS_PARA_AGENTES.md;.md;documento;AUDITORIA_GLOBAL;5037;2026-08-16 06:10
AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\MARC_IMAGENES;MARC_IMAGENES;;otro;AUDITORIA_GLOBAL;0;2026-08-16 13:20
AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\ROADMAP_30_DIAS.md;ROADMAP_30_DIAS.md;.md;documento;AUDITORIA_GLOBAL;6608;2026-08-16 06:09
AURORA\00_AUDITORIA_MAESTRA\00_RESUMEN_EJECUTIVO_AURORA.md;00_RESUMEN_EJECUTIVO_AURORA.md;.md;documento;AURORA;1970;2026-08-18 15:34
AURORA\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_AURORA.md;01_AUDITORIA_COMPLETA_AURORA.md;.md;documento;AURORA;840;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\01_INVENTARIO_DOCUMENTAL.md;01_INVENTARIO_DOCUMENTAL.md;.md;documento;AURORA;916;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\02_AUDITORIA_DE_MARC.md;02_AUDITORIA_DE_MARC.md;.md;documento;AURORA;443;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\02_CONTEXTO_NEGOCIO.md;02_CONTEXTO_NEGOCIO.md;.md;documento;AURORA;1433;2026-08-18 15:36
AURORA\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_AURORA.md;03_MAPA_DEL_NEGOCIO_AURORA.md;.md;documento;AURORA;527;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\03_OFERTA_Y_PRODUCTOS.md;03_OFERTA_Y_PRODUCTOS.md;.md;documento;AURORA;1373;2026-08-18 15:35
AURORA\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_AURORA.md;04_MAPA_DE_MARKETING_AURORA.md;.md;documento;AURORA;350;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\04_MARKETING.md;04_MARKETING.md;.md;documento;AURORA;357;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\05_MAPA_DEL_EMBUDO_AURORA.md;05_MAPA_DEL_EMBUDO_AURORA.md;.md;documento;AURORA;275;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\05_VENTAS.md;05_VENTAS.md;.md;documento;AURORA;503;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\06_EMBUDO.md;06_EMBUDO.md;.md;documento;AURORA;459;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\06_MAPA_DE_AUTOMATIZACIONES_AURORA.md;06_MAPA_DE_AUTOMATIZACIONES_AURORA.md;.md;documento;AURORA;312;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md;07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md;.md;documento;AURORA;441;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\07_AUTOMATIZACIONES.md;07_AUTOMATIZACIONES.md;.md;documento;AURORA;377;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\08_AUDITORIA_FINANCIERA_AURORA.md;08_AUDITORIA_FINANCIERA_AURORA.md;.md;documento;AURORA;220;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\08_IA_Y_TECNOLOGIA.md;08_IA_Y_TECNOLOGIA.md;.md;documento;AURORA;381;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\09_AUDITORIA_CONTRACTUAL_AURORA.md;09_AUDITORIA_CONTRACTUAL_AURORA.md;.md;documento;AURORA;290;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\09_HERRAMIENTAS_Y_ACCESOS.md;09_HERRAMIENTAS_Y_ACCESOS.md;.md;documento;AURORA;394;2026-08-15 19:01
AURORA\00_AUDITORIA_MAESTRA\10_FINANZAS_Y_PRECIOS.md;10_FINANZAS_Y_PRECIOS.md;.md;documento;AURORA;1317;2026-08-18 15:36
AURORA\00_AUDITORIA_MAESTRA\10_KPI_Y_METRICAS_AURORA.md;10_KPI_Y_METRICAS_AURORA.md;.md;documento;AURORA;224;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\11_CONTRATOS_Y_RESPONSABILIDADES.md;11_CONTRATOS_Y_RESPONSABILIDADES.md;.md;documento;AURORA;306;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\11_RIESGOS_AURORA.md;11_RIESGOS_AURORA.md;.md;documento;AURORA;398;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\12_KPIS_Y_METRICAS.md;12_KPIS_Y_METRICAS.md;.md;documento;AURORA;239;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\12_OPORTUNIDADES_AURORA.md;12_OPORTUNIDADES_AURORA.md;.md;documento;AURORA;422;2026-08-15 19:03
AURORA\00_AUDITORIA_MAESTRA\13_PREGUNTAS_PARA_AURORA.md;13_PREGUNTAS_PARA_AURORA.md;.md;documento;AURORA;542;2026-08-15 19:04
AURORA\00_AUDITORIA_MAESTRA\13_PROBLEMAS_Y_RIESGOS.md;13_PROBLEMAS_Y_RIESGOS.md;.md;documento;AURORA;451;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\14_OPORTUNIDADES.md;14_OPORTUNIDADES.md;.md;documento;AURORA;480;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\14_PLAN_30_60_90_AURORA.md;14_PLAN_30_60_90_AURORA.md;.md;documento;AURORA;474;2026-08-15 19:06
AURORA\00_AUDITORIA_MAESTRA\15_PREGUNTAS_PENDIENTES.md;15_PREGUNTAS_PENDIENTES.md;.md;documento;AURORA;663;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\15_REUNION_BRIEF_AURORA.md;15_REUNION_BRIEF_AURORA.md;.md;documento;AURORA;411;2026-08-15 19:06
AURORA\00_AUDITORIA_MAESTRA\16_DOCUMENTO_ALINEACION_AURORA.md;16_DOCUMENTO_ALINEACION_AURORA.md;.md;documento;AURORA;551;2026-08-15 19:06
AURORA\00_AUDITORIA_MAESTRA\16_PLAN_DE_ACCION.md;16_PLAN_DE_ACCION.md;.md;documento;AURORA;444;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\17_DOCUMENTOS_PARA_REUNION.md;17_DOCUMENTOS_PARA_REUNION.md;.md;documento;AURORA;630;2026-08-15 19:02
AURORA\00_AUDITORIA_MAESTRA\17_FUENTES_AURORA.md;17_FUENTES_AURORA.md;.md;documento;AURORA;604;2026-08-15 19:06
AURORA\00_AUDITORIA_MAESTRA\18_FUENTES_Y_EVIDENCIAS.md;18_FUENTES_Y_EVIDENCIAS.md;.md;documento;AURORA;656;2026-08-15 19:03
AURORA\00_DONDE_ESTA_TODO.md;00_DONDE_ESTA_TODO.md;.md;documento;AURORA;1629;2026-09-04 22:10
AURORA\03_ESTRATEGIA\ESTRATEGIA_MARKETING_REDES_AURORA.md;ESTRATEGIA_MARKETING_REDES_AURORA.md;.md;documento;AURORA;2534;2026-08-31 16:34
AURORA\04_Instagram\ASSETS\HIGHLIGHT_COVERS\CONTACTO.png;CONTACTO.png;.png;imagen;AURORA;37651;2026-08-28 21:38
AURORA\04_Instagram\ASSETS\HIGHLIGHT_COVERS\INICIO.png;INICIO.png;.png;imagen;AURORA;40410;2026-08-28 21:38
AURORA\04_Instagram\ASSETS\HIGHLIGHT_COVERS\METODO.png;METODO.png;.png;imagen;AURORA;37229;2026-08-28 21:38
AURORA\04_Instagram\ASSETS\IA_DRAFTS\carrusel_fondo_01.jpg;carrusel_fondo_01.jpg;.jpg;imagen;AURORA;102129;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\carrusel_fondo_02.jpg;carrusel_fondo_02.jpg;.jpg;imagen;AURORA;158901;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\post_autoridad_01.jpg;post_autoridad_01.jpg;.jpg;imagen;AURORA;159345;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\post_dolor_01.jpg;post_dolor_01.jpg;.jpg;imagen;AURORA;112971;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\post_metodo_01.jpg;post_metodo_01.jpg;.jpg;imagen;AURORA;266459;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\post_oferta_01.jpg;post_oferta_01.jpg;.jpg;imagen;AURORA;152108;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\reel_cover_01.jpg;reel_cover_01.jpg;.jpg;imagen;AURORA;165489;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\story_autoridad_01.jpg;story_autoridad_01.jpg;.jpg;imagen;AURORA;164695;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\story_dolor_01.jpg;story_dolor_01.jpg;.jpg;imagen;AURORA;101561;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\story_metodo_01.jpg;story_metodo_01.jpg;.jpg;imagen;AURORA;140517;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\story_oferta_01.jpg;story_oferta_01.jpg;.jpg;imagen;AURORA;144824;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\IA_DRAFTS\story_prueba_01.jpg;story_prueba_01.jpg;.jpg;imagen;AURORA;117689;2026-08-18 15:47
AURORA\04_Instagram\ASSETS\LANZAMIENTO\POST_SOBERANIA_VITAL_1080.jpg;POST_SOBERANIA_VITAL_1080.jpg;.jpg;imagen;AURORA;126539;2026-08-31 13:26
AURORA\04_Instagram\ASSETS\LANZAMIENTO\STORY_SOBERANIA_VITAL_1080x1920.jpg;STORY_SOBERANIA_VITAL_1080x1920.jpg;.jpg;imagen;AURORA;146341;2026-08-31 13:26
AURORA\04_Instagram\PAQUETE_GENERACION_VISUAL_AURORA.md;PAQUETE_GENERACION_VISUAL_AURORA.md;.md;documento;AURORA;3486;2026-08-18 15:48
AURORA\05_CLON_AURORA\PROTOCOLO_CLON_AURORA.md;PROTOCOLO_CLON_AURORA.md;.md;documento;AURORA;913;2026-08-31 16:37
AURORA\06_BRAND_KIT\MANUAL_DE_MARCA.md;MANUAL_DE_MARCA.md;.md;documento;AURORA;1675;2026-09-01 06:47
AURORA\06_BRAND_KIT\PLANTILLAS\POST_1_portada_ejemplo.jpg;POST_1_portada_ejemplo.jpg;.jpg;imagen;AURORA;57639;2026-09-01 06:45
AURORA\06_BRAND_KIT\PLANTILLAS\QUOTE_1_ejemplo.jpg;QUOTE_1_ejemplo.jpg;.jpg;imagen;AURORA;40623;2026-09-01 06:45
AURORA\06_BRAND_KIT\PLANTILLAS\STORY_1_ejemplo.jpg;STORY_1_ejemplo.jpg;.jpg;imagen;AURORA;62738;2026-09-01 06:45
AURORA\06_BRAND_KIT\logo_192.png;logo_192.png;.png;imagen;AURORA;1460;2026-09-01 06:45
AURORA\06_BRAND_KIT\logo_512.png;logo_512.png;.png;imagen;AURORA;4710;2026-09-01 06:45
AURORA\06_BRAND_KIT\logo_64.png;logo_64.png;.png;imagen;AURORA;494;2026-09-01 06:45
AURORA\Chat de WhatsApp con +34 722 39 89 89\Chat de WhatsApp con +34 722 39 89 89.txt;Chat de WhatsApp con +34 722 39 89 89.txt;.txt;documento;AURORA;1775;2026-08-18 07:28
AURORA\WEB_SOBERANIA_VITAL.zip;WEB_SOBERANIA_VITAL.zip;.zip;paquete;AURORA;4813;2026-09-04 22:32
AURORA\WEB_SOBERANIA_VITAL\index.html;index.html;.html;codigo;AURORA;13868;2026-09-04 22:28
AURORA\WEB_SOBERANIA_VITAL\index.html.bak_20260904_v1;index.html.bak_20260904_v1;.bak_20260904_v1;backup;AURORA;10135;2026-08-25 15:27
ENTREGA_HOY_2026-08-25.md;ENTREGA_HOY_2026-08-25.md;.md;documento;RAIZ;3625;2026-08-27 07:03
HANDOFF_ZED.md;HANDOFF_ZED.md;.md;documento;RAIZ;3451;2026-09-04 15:16
INFORME_FINAL_2026-08-28.md;INFORME_FINAL_2026-08-28.md;.md;documento;RAIZ;4068;2026-08-28 21:39
MARC 1.txt;MARC 1.txt;.txt;documento;RAIZ;69524;2026-08-26 05:38
MARC\.github\agents\01_SUPER_AGENT.agent.md;01_SUPER_AGENT.agent.md;.md;documento;MARC;2647;2026-08-16 03:57
MARC\.github\agents\02_RESEARCHER.agent.md;02_RESEARCHER.agent.md;.md;documento;MARC;1274;2026-08-16 03:57
MARC\.github\agents\03_CODER.agent.md;03_CODER.agent.md;.md;documento;MARC;1193;2026-08-16 03:57
MARC\.github\agents\04_DEBUGGER.agent.md;04_DEBUGGER.agent.md;.md;documento;MARC;1243;2026-08-16 03:57
MARC\.github\agents\05_ARCHITECT.agent.md;05_ARCHITECT.agent.md;.md;documento;MARC;1300;2026-08-16 03:57
MARC\.github\agents\06_CODE_REVIEWER.agent.md;06_CODE_REVIEWER.agent.md;.md;documento;MARC;1254;2026-08-16 03:57
MARC\.github\agents\07_BROWSER_AGENT.agent.md;07_BROWSER_AGENT.agent.md;.md;documento;MARC;1514;2026-08-16 03:57
MARC\.github\agents\08_AUTOMATION_AGENT.agent.md;08_AUTOMATION_AGENT.agent.md;.md;documento;MARC;1340;2026-08-16 03:58
MARC\.github\agents\09_DATA_ANALYST.agent.md;09_DATA_ANALYST.agent.md;.md;documento;MARC;1347;2026-08-16 03:58
MARC\.github\agents\10_DOCUMENT_AGENT.agent.md;10_DOCUMENT_AGENT.agent.md;.md;documento;MARC;1458;2026-08-16 03:58
MARC\.github\agents\11_MARKETING_AGENT.agent.md;11_MARKETING_AGENT.agent.md;.md;documento;MARC;1291;2026-08-16 03:58
MARC\.github\agents\12_SECURITY_AGENT.agent.md;12_SECURITY_AGENT.agent.md;.md;documento;MARC;1428;2026-08-16 03:58
MARC\.github\agents\13_GIT_AGENT.agent.md;13_GIT_AGENT.agent.md;.md;documento;MARC;1509;2026-08-16 03:58
MARC\.github\agents\14_PROJECT_MANAGER.agent.md;14_PROJECT_MANAGER.agent.md;.md;documento;MARC;1379;2026-08-16 03:58
MARC\.github\copilot-instructions.md;copilot-instructions.md;.md;documento;MARC;860;2026-08-16 03:58
MARC\.github\hooks\audit-log.json;audit-log.json;.json;codigo;MARC;241;2026-08-16 04:01
MARC\.github\hooks\audit.ps1;audit.ps1;.ps1;codigo;MARC;1123;2026-08-16 04:01
MARC\.github\hooks\guard.ps1;guard.ps1;.ps1;codigo;MARC;2034;2026-08-16 04:01
MARC\.github\hooks\security-guard.json;security-guard.json;.json;codigo;MARC;240;2026-08-16 04:01
MARC\.github\skills\browser-automation\SKILL.md;SKILL.md;.md;documento;MARC;1560;2026-08-16 03:59
MARC\.github\skills\data-analysis\SKILL.md;SKILL.md;.md;documento;MARC;1424;2026-08-16 03:59
MARC\.github\skills\docx\SKILL.md;SKILL.md;.md;documento;MARC;982;2026-08-16 03:59
MARC\.github\skills\google-workspace\SKILL.md;SKILL.md;.md;documento;MARC;1178;2026-08-16 03:59
MARC\.github\skills\pdf\SKILL.md;SKILL.md;.md;documento;MARC;1030;2026-08-16 03:59
MARC\.github\skills\web-research\SKILL.md;SKILL.md;.md;documento;MARC;1250;2026-08-16 03:59
MARC\.github\skills\xlsx-csv\SKILL.md;SKILL.md;.md;documento;MARC;1167;2026-08-16 03:59
MARC\.mcp.json;.mcp.json;.json;codigo;MARC;502;2026-08-16 03:56
MARC\00_AUDITORIA_MAESTRA\00_RESUMEN_EJECUTIVO_MARC.md;00_RESUMEN_EJECUTIVO_MARC.md;.md;documento;MARC;2144;2026-08-15 18:47
MARC\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_MARC.md;01_AUDITORIA_COMPLETA_MARC.md;.md;documento;MARC;3080;2026-08-15 18:47
MARC\00_AUDITORIA_MAESTRA\02_INVENTARIO_MARC.md;02_INVENTARIO_MARC.md;.md;documento;MARC;1876;2026-08-15 18:47
MARC\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_MARC.md;03_MAPA_DEL_NEGOCIO_MARC.md;.md;documento;MARC;3040;2026-08-15 18:47
MARC\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_MARC.md;04_MAPA_DE_MARKETING_MARC.md;.md;documento;MARC;1161;2026-08-15 18:47
MARC\00_DONDE_ESTA_TODO.md;00_DONDE_ESTA_TODO.md;.md;documento;MARC;2148;2026-09-04 22:10
MARC\01_Contexto_Alineacion\Doc2_Plan_Operativo_Marc.md;Doc2_Plan_Operativo_Marc.md;.md;documento;MARC;12195;2026-08-05 02:16
MARC\01_Contexto_Alineacion\Doc3_Contexto_Escala_Marc.md;Doc3_Contexto_Escala_Marc.md;.md;documento;MARC;7420;2026-08-05 02:20
MARC\01_Contexto_Alineacion\Doc3_Contexto_Escala_Marc.pdf;Doc3_Contexto_Escala_Marc.pdf;.pdf;documento;MARC;135130;2026-08-05 02:22
